Block,Genotype,Water,Temperature,Replicate,FW,DW,N,LeafNumber,PlantArea,DAS
5,Col-0,D,27,8,,,6.46694,,,35
5,Col-0,D,27,23,,,6.77525,,,35
5,Col-0,D,27,27,,,6.69779,,,35
5,Col-0,D,27,28,,,6.70411,,,35
5,Lp2-6,C,21,6,77,9.1,7.19835,13,665.907,35
5,Lp2-6,C,21,9,57.1,6.2,6.69047,13,504.651,35
5,Lp2-6,C,21,13,129.1,13.1,7.60305,18,1077.515,35
5,Lp2-6,C,21,17,130,13.1,7.48958,22,1632.493,35
5,Lp2-6,C,21,26,134.2,14.3,7.40674,16,1102.83,35
5,Lp2-6,D,21,4,82.1,9.2,6.86025,16,732.786,35
5,Lp2-6,D,21,15,109.8,12,7.1551,19,887.419,35
5,Lp2-6,D,21,21,80,9.1,7.13878,16,672.803,35
5,Lp2-6,D,21,23,100,11.3,6.98298,17,841.921,35
5,Lp2-6,D,21,24,75.8,8.5,6.76668,16,670.248,35
5,Lp2-6,C,27,6,162.7,13.8,6.946,15,1228.47,35
5,Lp2-6,C,27,8,157.6,13.4,7.11476,15,1127.026,35
5,Lp2-6,C,27,13,77.4,6.8,6.61817,11,609.74,35
5,Lp2-6,C,27,25,160.7,14.7,6.84875,15,1274.531,35
5,Lp2-6,C,27,26,138.5,11.5,6.81948,15,1087.49,35
5,Lp2-6,D,27,9,146.4,14,6.70526,15,1033.991,35
5,Lp2-6,D,27,16,102.6,9,6.33884,14,739.941,35
5,Lp2-6,D,27,17,92.4,8.9,6.23035,15,735.763,35
5,Lp2-6,D,27,24,111,11.2,6.31132,15,846.577,35
5,Lp2-6,D,27,32,149.3,14.9,6.41392,15,1078.716,35
5,An-1,C,21,6,103.8,10.3,7.32325,17,835.748,35
5,An-1,C,21,15,120.1,11.8,7.6822,17,936.952,35
5,An-1,C,21,18,106.5,10.3,7.31734,16,878.531,35
5,An-1,C,21,26,188.8,18.4,7.60096,17,1386.973,35
5,An-1,C,21,30,63.7,6.6,7.15791,15,537.903,35
5,An-1,D,21,4,91.1,9.2,6.73077,17,718.997,35
5,An-1,D,21,13,79.4,7.4,6.8963,16,643.247,35
5,An-1,D,21,21,83.8,9.4,6.11953,14,652.703,35
5,An-1,D,21,22,109.7,10.2,6.98616,15,836.241,35
5,An-1,D,21,24,134,12.4,6.86173,15,970.246,35
5,An-1,C,27,4,257.9,18.6,7.10899,16,1811.769,35
5,An-1,C,27,5,205.6,15.3,7.19265,16,1473.4,35
5,An-1,C,27,29,315.1,22,7.17053,16,2228.391,35
5,An-1,C,27,31,233.8,16.4,7.17576,17,1622.953,35
5,An-1,C,27,32,162.5,12.1,6.85208,15,1187.876,35
5,An-1,D,27,8,129.3,10.7,6.65632,14,949.566,35
5,An-1,D,27,11,162.2,12.7,6.62263,14,1133.745,35
5,An-1,D,27,12,121.8,10.5,6.59492,14,898.258,35
5,An-1,D,27,24,268.3,20.9,6.62896,16,1863.273,35
5,An-1,D,27,30,159.9,12.7,6.61322,15,1178.015,35
4,Bay-0,D,21,31,NA,NA,NA,21,2777.643,33
5,Bay-0,D,27,21,NA,NA,NA,13,1657.788,33
5,Col-0,C,27,17,NA,NA,NA,2,24.55,35
